"id","region","city","area","NO2","PM2.5","PM10","incomePerCapita","healthExpenditure","density"
"08","Emilia-Romagna","Ferrara",22444.542,26.3766666666667,NA,30.604347826087,22.94,1209,198.6887057
"08","Emilia-Romagna","Modena",22444.542,36.7818181818182,13.4710743801653,23.7136929460581,22.94,1209,198.6887057
"08","Emilia-Romagna","Modena",22444.542,34.4862068965517,18.7666666666667,31.4700854700855,22.94,1209,198.6887057
"08","Emilia-Romagna","Modena",22444.542,36.0597457627119,16.3070175438597,28.327731092437,22.94,1209,198.6887057
"08","Emilia-Romagna","Modena",22444.542,33.81,NA,31.2324561403509,22.94,1209,198.6887057
"08","Emilia-Romagna","Parma",22444.542,26.650643776824,16.0932203389831,24.6239316239316,22.94,1209,198.6887057
"08","Emilia-Romagna","Parma",22444.542,29.8625,21.9491525423729,33.0672268907563,22.94,1209,198.6887057
"08","Emilia-Romagna","Parma",22444.542,29.9662222222222,16.6396396396396,29.6440677966102,22.94,1209,198.6887057
"08","Emilia-Romagna","Parma",22444.542,25.3278409090909,NA,28.1724137931034,22.94,1209,198.6887057
"08","Emilia-Romagna","Piacenza",22444.542,26.2495283018868,16.2589285714286,23.0425531914894,22.94,1209,198.6887057
"08","Emilia-Romagna","Piacenza",22444.542,31.4292372881356,22.0924369747899,30.7383966244726,22.94,1209,198.6887057
"08","Emilia-Romagna","Piacenza",22444.542,30.6621848739496,19.1344537815126,27.1097046413502,22.94,1209,198.6887057
"08","Emilia-Romagna","Piacenza",22444.542,28.5603351955307,NA,27.9782608695652,22.94,1209,198.6887057
"08","Emilia-Romagna","Ravenna",22444.542,22.7491525423729,13.5897435897436,20.508547008547,22.94,1209,198.6887057
"08","Emilia-Romagna","Ravenna",22444.542,20.847619047619,17.5166666666667,25.2384937238494,22.94,1209,198.6887057
"08","Emilia-Romagna","Ravenna",22444.542,25.3966666666667,16.640350877193,23.9344978165939,22.94,1209,198.6887057
"08","Emilia-Romagna","Ravenna",22444.542,22.4536144578313,NA,28.1521739130435,22.94,1209,198.6887057
"08","Emilia-Romagna","Rimini",22444.542,32.9483333333333,15.0892857142857,25.8649789029536,22.94,1209,198.6887057
"08","Emilia-Romagna","Rimini",22444.542,33.6811715481172,17.5798319327731,29.6042553191489,22.94,1209,198.6887057
"08","Emilia-Romagna","Rimini",22444.542,27.9512711864407,15.743119266055,25.3991031390135,22.94,1209,198.6887057
"08","Emilia-Romagna","Rimini",22444.542,27.6252873563218,NA,29.7025862068966,22.94,1209,198.6887057
"06","Friuli Venezia Giulia","Pordenone",7932.4822,26.8823529411765,15.0620689655172,21.1424778761062,21.03,1335,153.1954273
"06","Friuli Venezia Giulia","Pordenone",7932.4822,28.0868421052632,18.0086956521739,26.1547826086957,21.03,1335,153.1954273
"06","Friuli Venezia Giulia","Pordenone",7932.4822,26.7924369747899,15.1805309734513,21.8725663716814,21.03,1335,153.1954273
"06","Friuli Venezia Giulia","Pordenone",7932.4822,12.7363636363636,NA,NA,21.03,1335,153.1954273
"06","Friuli Venezia Giulia","Trieste",7932.4822,22.3731092436975,12.1777777777778,18.1151260504202,21.03,1335,153.1954273
"06","Friuli Venezia Giulia","Trieste",7932.4822,23.852427184466,NA,24.555,21.03,1335,153.1954273
"06","Friuli Venezia Giulia","Trieste",7932.4822,25.7931623931624,13.1875,19.6777777777778,21.03,1335,153.1954273
"06","Friuli Venezia Giulia","Udine",7932.4822,21.9389140271493,13.8924369747899,20.9461206896552,21.03,1335,153.1954273
"06","Friuli Venezia Giulia","Udine",7932.4822,22.5990909090909,16.127619047619,22.8811403508772,21.03,1335,153.1954273
"06","Friuli Venezia Giulia","Udine",7932.4822,19.1510460251046,15.6044642857143,19.4284482758621,21.03,1335,153.1954273
"06","Friuli Venezia Giulia","Udine",7932.4822,11.7753246753247,NA,17.7511904761905,21.03,1335,153.1954273
"12","Lazio","Latina",17231.7227,21.741592920354,10.0166666666667,22.471098265896,19.77,1026,341.177844
"12","Lazio","Latina",17231.7227,25.3367521367521,12.359649122807,22.6974063400576,19.77,1026,341.177844
"12","Lazio","Latina",17231.7227,21.3037037037037,11.6194690265487,23.3620689655172,19.77,1026,341.177844
"12","Lazio","Latina",17231.7227,24.9706790123457,10.7234042553191,24.2453416149068,19.77,1026,341.177844
"12","Lazio","Roma",17231.7227,42.4880868955851,12.8406862745098,25.2408450704225,19.77,1026,341.177844
"12","Lazio","Roma",17231.7227,46.4421998562186,14.2114914425428,25.638237384506,19.77,1026,341.177844
"12","Lazio","Roma",17231.7227,41.3127674750357,13.7134292565947,26.0593220338983,19.77,1026,341.177844
"12","Lazio","Roma",17231.7227,39.7260901699926,12.2077747989276,24.9522727272727,19.77,1026,341.177844
"07","Liguria","Genova",5416.152,42.9954696132597,15.6264069264069,20.2895615866388,22.04,1280,286.2992028
"07","Liguria","Genova",5416.152,39.6389071038251,19.9072072072072,23.5119305856833,22.04,1280,286.2992028
"07","Liguria","Genova",5416.152,41.5881906825569,10.4138075313808,21.9901315789474,22.04,1280,286.2992028
"07","Liguria","Savona",5416.152,25.05,12.5348739495798,18.2135838150289,22.04,1280,286.2992028
"07","Liguria","Savona",5416.152,24.8350210970464,14.1356807511737,22.6278287461774,22.04,1280,286.2992028
"07","Liguria","Savona",5416.152,22.41375,15.7083682008368,20.5409495548961,22.04,1280,286.2992028
"03","Lombardia","Bergamo",23863.0973,38.335864978903,20.4272727272727,28.8093617021277,22.94,972,421.5954817
"03","Lombardia","Bergamo",23863.0973,43.4474576271186,27.0439655172414,37.2055555555556,22.94,972,421.5954817
"03","Lombardia","Bergamo",23863.0973,38.9139830508475,24.455,31.2493723849372,22.94,972,421.5954817
"03","Lombardia","Bergamo",23863.0973,34.8545,22.2438596491228,28.1563876651982,22.94,972,421.5954817
"03","Lombardia","Brescia",23863.0973,41.4718654434251,22.709756097561,30.5272727272727,22.94,972,421.5954817
"03","Lombardia","Brescia",23863.0973,46.3271028037383,27.2643171806167,37.573127753304,22.94,972,421.5954817
"03","Lombardia","Brescia",23863.0973,42.9672463768116,24.0057777777778,33.3548672566372,22.94,972,421.5954817
"03","Lombardia","Brescia",23863.0973,43.0608540925267,23.2841628959276,32.8968888888889,22.94,972,421.5954817
"03","Lombardia","Como",23863.0973,42.1008403361345,20.0940170940171,26.6050420168067,22.94,972,421.5954817
"03","Lombardia","Como",23863.0973,48.5165217391304,26.5588235294118,34.455462184874,22.94,972,421.5954817
"03","Lombardia","Como",23863.0973,44.5991596638655,23.9547008547009,29.6550847457627,22.94,972,421.5954817
"03","Lombardia","Como",23863.0973,40.828,19.2417475728155,26.9156862745098,22.94,972,421.5954817
"03","Lombardia","Cremona",23863.0973,25.9991150442478,20.0141630901288,28.789029535865,22.94,972,421.5954817
"03","Lombardia","Cremona",23863.0973,33.2966666666667,25.3867521367521,36.0936170212766,22.94,972,421.5954817
"03","Lombardia","Cremona",23863.0973,28.3909482758621,22.3338983050847,31.6411764705882,22.94,972,421.5954817
"03","Lombardia","Cremona",23863.0973,29.4827586206897,25.1192307692308,35.1580188679245,22.94,972,421.5954817
"03","Lombardia","Lecco",23863.0973,33.2910638297872,12.7068965517241,20.9526086956522,22.94,972,421.5954817
"03","Lombardia","Lecco",23863.0973,36.6618421052632,18.3033333333333,28.5101769911504,22.94,972,421.5954817
"03","Lombardia","Lecco",23863.0973,32.07625,16.8398305084746,25.417094017094,22.94,972,421.5954817
"03","Lombardia","Lecco",23863.0973,26.5699507389163,11.8362068965517,19.4600858369099,22.94,972,421.5954817
"03","Lombardia","Milano",23863.0973,48.3599691675231,22.034,28.8944685466377,22.94,972,421.5954817
"03","Lombardia","Milano",23863.0973,49.5007125890736,27.3154128440367,35.1478213507625,22.94,972,421.5954817
"03","Lombardia","Milano",23863.0973,45.4164043583535,21.6329044117647,30.9470351758794,22.94,972,421.5954817
"03","Lombardia","Milano",23863.0973,41.2362526920316,19.7756906077348,29.3921492921493,22.94,972,421.5954817
"03","Lombardia","Pavia",23863.0973,30.8741379310345,16.1171717171717,25.9142857142857,22.94,972,421.5954817
"03","Lombardia","Pavia",23863.0973,36.6304721030043,22.7558823529412,33.8778242677824,22.94,972,421.5954817
"03","Lombardia","Pavia",23863.0973,33.4404166666667,23.0814814814815,32.2429787234043,22.94,972,421.5954817
"03","Lombardia","Pavia",23863.0973,31.7959595959596,23.1990825688073,32.8868995633188,22.94,972,421.5954817
